updated_info,count
"Echo (ping) request  id=, /59262,  (no response found!)",77715
[SYN],8577
"[RST, ACK]",6429
[ACK],5398
Application Data,4029
[ACK]       [TCP segment of a reassembled PDU],1131
Application Data [TCP segment of a reassembled PDU],748
192.168.43.1 is at 00:c0:ca:97:cf:63 (duplicate use of 192.168.43.1 detected!),727
Standard query  A api.libelium.com,388
"[PSH, ACK]       [TCP segment of a reassembled PDU]",334
[TCP Retransmission]  [SYN],330
"[FIN, ACK]",296
"[TCP Retransmission]  [PSH, ACK]",292
"Application Data, Application Data",249
"[SYN, ACK]",192
Redirect             (Redirect for host),178
192.168.43.1 is at 00:c0:ca:97:cf:63,171
192.168.43.200 is at 00:c0:ca:97:cf:63,171
Standard query response  A api.libelium.com A 52.208.217.22,152
Client Hello,151
Who has 192.168.43.1? Tell 192.168.43.186,141
192.168.43.1 is at 6e:c7:ec:3c:f2:ba,141
Encrypted Alert,139
Server Hello,135
"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message",135
"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message",107
"Certificate, Server Key Exchange, Server Hello Done",107
Who has 192.168.43.200? Tell 192.168.43.186,101
192.168.43.200 is at a0:20:a6:22:2d:c9,99
[RST],96
[TCP Keep-Alive ACK]  [ACK],85
[TCP Keep-Alive]  [ACK],85
Response,63
Request,63
"Application Data, Application Data, Application Data",35
Encrypted Handshake Message,31
192.168.43.186 is at 00:c0:ca:97:cf:63,30
Change Cipher Spec,28
Client Key Exchange,27
"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data",23
Who has 192.168.43.186? Tell 192.168.43.1,19
"Change Cipher Spec, Encrypted Handshake Message",18
Standard query  A fonts.gstatic.com,16
Standard query response  A fonts.gstatic.com CNAME gstaticadssl.l.google.com A 172.217.167.99,16
Standard query  AAAA fonts.gstatic.com,16
Standard query response  AAAA fonts.gstatic.com CNAME gstaticadssl.l.google.com AAAA 2404:6800:4006:806::2003,16
Standard query  AAAA www.google.com,15
Standard query  AAAA ssl.gstatic.com,15
Standard query  A www.google.com,15
Standard query response  A ssl.gstatic.com A 142.250.66.227,15
Standard query response  AAAA ssl.gstatic.com AAAA 2404:6800:4006:810::2003,15
Standard query response  A www.google.com A 142.250.66.196,15
Standard query  A ssl.gstatic.com,15
Standard query response  AAAA www.google.com AAAA 2404:6800:4006:811::2004,14
"Server Hello, Change Cipher Spec, Encrypted Handshake Message",13
"[TCP Retransmission]  [FIN, ACK]",11
"Certificate, Certificate Status, Server Key Exchange, Server Hello Done",9
"Server Key Exchange, Server Hello Done",9
Certificate [TCP segment of a reassembled PDU],9
Standard query response  A accounts.google.com A 172.217.25.141,8
Standard query  AAAA accounts.google.com,8
DHCP Request  - Transaction ID,8
Standard query  A accounts.google.com,8
Standard query response  AAAA play.google.com AAAA 2404:6800:4006:809::200e,7
Standard query response  A play.google.com A 216.58.203.110,7
Standard query  AAAA play.google.com,7
Standard query response  AAAA accounts.google.com AAAA 2404:6800:4006:803::200d,7
Standard query  A play.google.com,7
[TCP Window Update]  [ACK],6
"Certificate, Server Key Exchange",6
Standard query  A detectportal.firefox.com,6
Standard query  AAAA detectportal.firefox.com,6
Server Hello Done,6
GET /success.txt HTTP/1.1 ,6
HTTP/1.1 200 OK  (text/plain),6
Standard query  A tiles.services.mozilla.com,6
Standard query  AAAA tiles.services.mozilla.com,6
"Application Data, Encrypted Alert",5
DHCP ACK      - Transaction ID,5
"Application Data, Application Data, Application Data, Application Data",5
Standard query response  No such name A tiles.services.mozilla.com,4
"Certificate, Certificate Status",4
"Certificate Status, Server Key Exchange, Server Hello Done",4
,4
Destination unreachable (Port unreachable),4
"[TCP Retransmission]  [FIN, PSH, ACK]",4
Standard query  A www.gstatic.com,4
Standard query  AAAA www.gstatic.com,4
Standard query response  No such name AAAA tiles.services.mozilla.com,4
Standard query response  A www.gstatic.com A 142.250.67.3,4
Who has 192.168.43.102? Tell 192.168.43.186,3
Who has 192.168.43.254? Tell 192.168.43.186,3
Who has 192.168.43.84? Tell 192.168.43.186,3
Who has 192.168.43.144? Tell 192.168.43.186,3
Who has 192.168.43.234? Tell 192.168.43.186,3
Who has 192.168.43.252? Tell 192.168.43.186,3
Who has 192.168.43.156? Tell 192.168.43.186,3
Gratuitous ARP for 192.168.43.186 (Request),3
Who has 192.168.43.64? Tell 192.168.43.186,3
Who has 192.168.43.116? Tell 192.168.43.186,3
Who has 192.168.43.230? Tell 192.168.43.186,3
Who has 192.168.43.26? Tell 192.168.43.186,3
Who has 192.168.43.130? Tell 192.168.43.186,3
Who has 192.168.43.9? Tell 192.168.43.186,3
Who has 192.168.43.21? Tell 192.168.43.186,3
Who has 192.168.43.11? Tell 192.168.43.186,3
Who has 192.168.43.38? Tell 192.168.43.186,3
Who has 192.168.43.87? Tell 192.168.43.186,3
Who has 192.168.43.44? Tell 192.168.43.186,3
Who has 192.168.43.226? Tell 192.168.43.186,3
Who has 192.168.43.76? Tell 192.168.43.186,3
Who has 192.168.43.46? Tell 192.168.43.186,3
Who has 192.168.43.80? Tell 192.168.43.186,3
Who has 192.168.43.192? Tell 192.168.43.186,3
Who has 192.168.43.172? Tell 192.168.43.186,3
Who has 192.168.43.154? Tell 192.168.43.186,3
Who has 192.168.43.236? Tell 192.168.43.186,3
Who has 192.168.43.250? Tell 192.168.43.186,3
Who has 192.168.43.70? Tell 192.168.43.186,3
Who has 192.168.43.143? Tell 192.168.43.186,3
Who has 192.168.43.75? Tell 192.168.43.186,3
Who has 192.168.43.128? Tell 192.168.43.186,3
Who has 192.168.43.184? Tell 192.168.43.186,3
Who has 192.168.43.152? Tell 192.168.43.186,3
Who has 192.168.43.160? Tell 192.168.43.186,3
Who has 192.168.43.37? Tell 192.168.43.186,3
Who has 192.168.43.19? Tell 192.168.43.186,3
Who has 192.168.43.251? Tell 192.168.43.186,3
Who has 192.168.43.183? Tell 192.168.43.186,3
Who has 192.168.43.176? Tell 192.168.43.186,3
Who has 192.168.43.131? Tell 192.168.43.186,3
Who has 192.168.43.239? Tell 192.168.43.186,3
Who has 192.168.43.148? Tell 192.168.43.186,3
Who has 192.168.43.92? Tell 192.168.43.186,3
Who has 192.168.43.71? Tell 192.168.43.186,3
Who has 192.168.43.235? Tell 192.168.43.186,3
Who has 192.168.43.170? Tell 192.168.43.186,3
Who has 192.168.43.124? Tell 192.168.43.186,3
Who has 192.168.43.244? Tell 192.168.43.186,3
Who has 192.168.43.118? Tell 192.168.43.186,3
Who has 192.168.43.79? Tell 192.168.43.186,3
Who has 192.168.43.66? Tell 192.168.43.186,3
Who has 192.168.43.138? Tell 192.168.43.186,3
Who has 192.168.43.51? Tell 192.168.43.186,3
Who has 192.168.43.63? Tell 192.168.43.186,3
Who has 192.168.43.36? Tell 192.168.43.186,3
Who has 192.168.43.150? Tell 192.168.43.186,3
Who has 192.168.43.27? Tell 192.168.43.186,3
Who has 192.168.43.255? Tell 192.168.43.186,3
Who has 192.168.43.240? Tell 192.168.43.186,3
Who has 192.168.43.58? Tell 192.168.43.186,3
Who has 192.168.43.54? Tell 192.168.43.186,3
Who has 192.168.43.214? Tell 192.168.43.186,3
Who has 192.168.43.32? Tell 192.168.43.186,3
Who has 192.168.43.40? Tell 192.168.43.186,3
Who has 192.168.43.122? Tell 192.168.43.186,3
Who has 192.168.43.78? Tell 192.168.43.186,3
Who has 192.168.43.74? Tell 192.168.43.186,3
Who has 192.168.43.6? Tell 192.168.43.186,3
Who has 192.168.43.182? Tell 192.168.43.186,3
Who has 192.168.43.14? Tell 192.168.43.186,3
Who has 192.168.43.16? Tell 192.168.43.186,3
Who has 192.168.43.114? Tell 192.168.43.186,3
Who has 192.168.43.228? Tell 192.168.43.186,3
"[TCP Retransmission]  [FIN, SYN, PSH, URG]",3
Standard query response  A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net A 23.40.101.80 A 23.40.101.8,3
Who has 192.168.43.110? Tell 192.168.43.186,3
Standard query response  AAAA detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net AAAA 2600:1415:8800::1728:6508 AAAA 2600:1415:8800::1728:6550,3
Standard query response  A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net A 23.40.101.8 A 23.40.101.80,3
Standard query response  AAAA detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net AAAA 2600:1415:8800::1728:6550 AAAA 2600:1415:8800::1728:6508,3
Standard query response  AAAA accounts.youtube.com CNAME www3.l.google.com AAAA 2404:6800:4006:80b::200e,3
Standard query response  A accounts.youtube.com CNAME www3.l.google.com A 172.217.167.110,3
Standard query  AAAA accounts.youtube.com,3
Standard query  A accounts.youtube.com,3
Standard query  A ocsp.pki.goog,3
Standard query  AAAA ocsp.pki.goog,3
Standard query response  A ocsp.pki.goog CNAME pki-goog.l.google.com A 142.250.67.3,3
Standard query response  AAAA ocsp.pki.goog CNAME pki-goog.l.google.com AAAA 2404:6800:4006:811::2003,3
Standard query response  AAAA www.gstatic.com AAAA 2404:6800:4006:811::2003,3
Who has 192.168.43.94? Tell 192.168.43.186,3
Who has 192.168.43.20? Tell 192.168.43.186,3
Who has 192.168.43.216? Tell 192.168.43.186,3
Who has 192.168.43.39? Tell 192.168.43.186,3
Who has 192.168.43.204? Tell 192.168.43.186,3
Who has 192.168.43.146? Tell 192.168.43.186,3
Who has 192.168.43.8? Tell 192.168.43.186,3
Who has 192.168.43.82? Tell 192.168.43.186,3
Who has 192.168.43.218? Tell 192.168.43.186,3
Who has 192.168.43.28? Tell 192.168.43.186,3
Who has 192.168.43.68? Tell 192.168.43.186,3
Who has 192.168.43.10? Tell 192.168.43.186,3
Who has 192.168.43.7? Tell 192.168.43.186,3
Who has 192.168.43.23? Tell 192.168.43.186,3
Who has 192.168.43.115? Tell 192.168.43.186,3
Who has 192.168.43.207? Tell 192.168.43.186,3
Who has 192.168.43.206? Tell 192.168.43.186,3
Who has 192.168.43.96? Tell 192.168.43.186,3
Who has 192.168.43.83? Tell 192.168.43.186,3
Who has 192.168.43.175? Tell 192.168.43.186,3
Who has 192.168.43.248? Tell 192.168.43.186,3
Who has 192.168.43.140? Tell 192.168.43.186,3
Who has 192.168.43.88? Tell 192.168.43.186,3
Who has 192.168.43.42? Tell 192.168.43.186,3
Who has 192.168.43.12? Tell 192.168.43.186,3
Who has 192.168.43.120? Tell 192.168.43.186,3
Who has 192.168.43.18? Tell 192.168.43.186,3
Who has 192.168.43.3? Tell 192.168.43.186,3
Who has 192.168.43.2? Tell 192.168.43.186,3
Who has 192.168.43.4? Tell 192.168.43.186,3
Who has 192.168.43.104? Tell 192.168.43.186,3
Who has 192.168.43.126? Tell 192.168.43.186,3
Who has 192.168.43.17? Tell 192.168.43.186,3
Who has 192.168.43.201? Tell 192.168.43.186,3
Who has 192.168.43.81? Tell 192.168.43.186,3
Who has 192.168.43.86? Tell 192.168.43.186,3
Who has 192.168.43.91? Tell 192.168.43.186,3
Who has 192.168.43.106? Tell 192.168.43.186,3
Who has 192.168.43.231? Tell 192.168.43.186,3
Who has 192.168.43.199? Tell 192.168.43.186,3
Who has 192.168.43.243? Tell 192.168.43.186,3
Who has 192.168.43.161? Tell 192.168.43.186,3
Who has 192.168.43.109? Tell 192.168.43.186,3
Who has 192.168.43.164? Tell 192.168.43.186,3
Who has 192.168.43.127? Tell 192.168.43.186,3
Who has 192.168.43.158? Tell 192.168.43.186,3
Who has 192.168.43.136? Tell 192.168.43.186,3
Who has 192.168.43.233? Tell 192.168.43.186,3
Who has 192.168.43.141? Tell 192.168.43.186,3
Who has 192.168.43.69? Tell 192.168.43.186,3
Who has 192.168.43.132? Tell 192.168.43.186,3
Who has 192.168.43.167? Tell 192.168.43.186,3
Who has 192.168.43.101? Tell 192.168.43.186,3
Who has 192.168.43.237? Tell 192.168.43.186,3
Who has 192.168.43.153? Tell 192.168.43.186,3
Who has 192.168.43.162? Tell 192.168.43.186,3
Who has 192.168.43.247? Tell 192.168.43.186,3
Who has 192.168.43.203? Tell 192.168.43.186,3
Who has 192.168.43.185? Tell 192.168.43.186,3
Who has 192.168.43.61? Tell 192.168.43.186,3
Who has 192.168.43.67? Tell 192.168.43.186,3
Who has 192.168.43.108? Tell 192.168.43.186,3
Who has 192.168.43.112? Tell 192.168.43.186,3
Who has 192.168.43.157? Tell 192.168.43.186,3
Who has 192.168.43.50? Tell 192.168.43.186,3
Who has 192.168.43.149? Tell 192.168.43.186,3
Who has 192.168.43.215? Tell 192.168.43.186,3
Who has 192.168.43.223? Tell 192.168.43.186,3
Who has 192.168.43.163? Tell 192.168.43.186,3
Who has 192.168.43.181? Tell 192.168.43.186,3
Who has 192.168.43.190? Tell 192.168.43.186,3
Who has 192.168.43.211? Tell 192.168.43.186,3
Who has 192.168.43.221? Tell 192.168.43.186,3
Who has 192.168.43.241? Tell 192.168.43.186,3
Who has 192.168.43.29? Tell 192.168.43.186,3
Who has 192.168.43.100? Tell 192.168.43.186,3
Who has 192.168.43.62? Tell 192.168.43.186,3
Who has 192.168.43.123? Tell 192.168.43.186,3
Who has 192.168.43.43? Tell 192.168.43.186,3
Who has 192.168.43.57? Tell 192.168.43.186,3
Who has 192.168.43.85? Tell 192.168.43.186,3
Who has 192.168.43.169? Tell 192.168.43.186,3
Who has 192.168.43.5? Tell 192.168.43.186,3
Who has 192.168.43.72? Tell 192.168.43.186,3
Who has 192.168.43.210? Tell 192.168.43.186,3
Who has 192.168.43.232? Tell 192.168.43.186,3
Who has 192.168.43.194? Tell 192.168.43.186,3
Who has 192.168.43.205? Tell 192.168.43.186,3
Who has 192.168.43.213? Tell 192.168.43.186,3
Who has 192.168.43.188? Tell 192.168.43.186,3
Who has 192.168.43.180? Tell 192.168.43.186,3
Who has 192.168.43.253? Tell 192.168.43.186,3
Who has 192.168.43.89? Tell 192.168.43.186,3
Who has 192.168.43.103? Tell 192.168.43.186,3
Who has 192.168.43.111? Tell 192.168.43.186,3
Who has 192.168.43.245? Tell 192.168.43.186,3
Who has 192.168.43.165? Tell 192.168.43.186,3
Who has 192.168.43.121? Tell 192.168.43.186,3
Who has 192.168.43.177? Tell 192.168.43.186,3
Who has 192.168.43.133? Tell 192.168.43.186,3
Who has 192.168.43.246? Tell 192.168.43.186,3
Who has 192.168.43.229? Tell 192.168.43.186,3
Who has 192.168.43.137? Tell 192.168.43.186,3
Who has 192.168.43.166? Tell 192.168.43.186,3
Who has 192.168.43.171? Tell 192.168.43.186,3
Who has 192.168.43.249? Tell 192.168.43.186,3
Who has 192.168.43.196? Tell 192.168.43.186,3
Who has 192.168.43.134? Tell 192.168.43.186,3
Who has 192.168.43.13? Tell 192.168.43.186,3
Who has 192.168.43.47? Tell 192.168.43.186,3
Who has 192.168.43.15? Tell 192.168.43.186,3
Who has 192.168.43.22? Tell 192.168.43.186,3
Who has 192.168.43.30? Tell 192.168.43.186,3
Who has 192.168.43.242? Tell 192.168.43.186,3
Who has 192.168.43.59? Tell 192.168.43.186,3
Who has 192.168.43.155? Tell 192.168.43.186,3
Who has 192.168.43.117? Tell 192.168.43.186,3
Who has 192.168.43.25? Tell 192.168.43.186,3
Who has 192.168.43.174? Tell 192.168.43.186,3
Who has 192.168.43.34? Tell 192.168.43.186,3
Who has 192.168.43.55? Tell 192.168.43.186,3
Who has 192.168.43.60? Tell 192.168.43.186,3
Who has 192.168.43.151? Tell 192.168.43.186,3
Who has 192.168.43.119? Tell 192.168.43.186,3
Who has 192.168.43.24? Tell 192.168.43.186,3
Who has 192.168.43.189? Tell 192.168.43.186,3
Who has 192.168.43.35? Tell 192.168.43.186,3
Who has 192.168.43.95? Tell 192.168.43.186,3
Who has 192.168.43.139? Tell 192.168.43.186,3
Who has 192.168.43.142? Tell 192.168.43.186,3
Who has 192.168.43.208? Tell 192.168.43.186,3
Who has 192.168.43.107? Tell 192.168.43.186,3
Who has 192.168.43.191? Tell 192.168.43.186,3
Who has 192.168.43.99? Tell 192.168.43.186,3
Who has 192.168.43.217? Tell 192.168.43.186,3
Who has 192.168.43.197? Tell 192.168.43.186,3
Who has 192.168.43.33? Tell 192.168.43.186,3
Who has 192.168.43.98? Tell 192.168.43.186,3
Who has 192.168.43.224? Tell 192.168.43.186,3
Who has 192.168.43.48? Tell 192.168.43.186,3
Who has 192.168.43.65? Tell 192.168.43.186,3
Who has 192.168.43.135? Tell 192.168.43.186,3
Who has 192.168.43.202? Tell 192.168.43.186,3
Who has 192.168.43.178? Tell 192.168.43.186,3
Who has 192.168.43.31? Tell 192.168.43.186,3
Who has 192.168.43.41? Tell 192.168.43.186,3
Who has 192.168.43.173? Tell 192.168.43.186,3
Who has 192.168.43.97? Tell 192.168.43.186,3
Who has 192.168.43.219? Tell 192.168.43.186,3
Who has 192.168.43.227? Tell 192.168.43.186,3
Who has 192.168.43.129? Tell 192.168.43.186,3
Who has 192.168.43.193? Tell 192.168.43.186,3
Who has 192.168.43.77? Tell 192.168.43.186,3
Who has 192.168.43.93? Tell 192.168.43.186,3
Who has 192.168.43.195? Tell 192.168.43.186,3
Who has 192.168.43.145? Tell 192.168.43.186,3
Who has 192.168.43.159? Tell 192.168.43.186,3
Who has 192.168.43.238? Tell 192.168.43.186,3
Who has 192.168.43.125? Tell 192.168.43.186,3
Who has 192.168.43.168? Tell 192.168.43.186,3
Who has 192.168.43.147? Tell 192.168.43.186,3
Who has 192.168.43.187? Tell 192.168.43.186,3
Who has 192.168.43.220? Tell 192.168.43.186,3
Who has 192.168.43.113? Tell 192.168.43.186,3
Who has 192.168.43.222? Tell 192.168.43.186,3
Who has 192.168.43.179? Tell 192.168.43.186,3
Who has 192.168.43.225? Tell 192.168.43.186,3
Who has 192.168.43.209? Tell 192.168.43.186,3
Who has 192.168.43.56? Tell 192.168.43.186,3
Who has 192.168.43.198? Tell 192.168.43.186,3
Who has 192.168.43.212? Tell 192.168.43.186,3
Who has 192.168.43.105? Tell 192.168.43.186,3
Who has 192.168.43.53? Tell 192.168.43.186,3
Who has 192.168.43.45? Tell 192.168.43.186,3
Who has 192.168.43.52? Tell 192.168.43.186,3
Who has 192.168.43.90? Tell 192.168.43.186,3
Who has 192.168.43.49? Tell 192.168.43.186,3
Who has 192.168.43.73? Tell 192.168.43.186,3
Standard query  A www.facebook.com,2
Standard query  AAAA www.facebook.com,2
Standard query response  A www.facebook.com CNAME star-mini.c10r.facebook.com A 157.240.8.35,2
Standard query response  AAAA www.facebook.com CNAME star-mini.c10r.facebook.com AAAA 2a03:2880:f119:8083:face:b00c:0:25de,2
"[TCP ACKed unseen segment]  [RST, ACK]",2
Standard query  A ib.adnxs.com,2
Standard query response  AAAA ib.adnxs.com CNAME g.geogslb.com CNAME ib.sin1.geoadnxs.com,2
Standard query  A ads.servenobid.com,2
Standard query response  A ocsp.digicert.com CNAME cs9.wac.phicdn.net A 117.18.237.29,2
"[TCP Out-Of-Order]  [FIN, ACK]",2
Standard query  AAAA ads.servenobid.com,2
Standard query  PTR 1.43.168.192.in-addr.arpa,2
"[TCP Retransmission]  [FIN, PSH, URG]",2
Standard query response  AAAA apis.google.com CNAME plus.l.google.com AAAA 2404:6800:4006:810::200e,2
Standard query response  PTR 200.43.168.192.in-addr.arpa PTR ESP_222DC9,2
Standard query  A apis.google.com,2
Standard query  AAAA apis.google.com,2
